bus_no,route_name,stops_name_between_route
104,Byahatti Plot ⇆ Hosur Terminal,Byahatti Plot → Sangolli Rayana School → Byahatti → Byahatti 2Nd Stop → Byahatti 1St Stop → M/S L → Halla → Furniture Factory → Kusgal Plot → Kusgal → Ms → Kusgal Maruthi Nagar → Kusgal Siddharuda Matta → Ram Honda → Durga Colony / Neeli Bangle → Oxford College → Srinivas Garden → Shabiri Nagar Cross Sh → Madhura Colony Sh → Keshwapur Sh → Court Circle Sh → Ocbs Feeder → Hosur Terminal
1040,Gurudeva Nagar ⇆ CBT-D,Cbt-D → Jubilee Circle → Court Circle → Nttf → Hosa Yallapur Cross → Toll Naka - D → Modern Hall → Suvarna Petrol Bunk → Vidya Giri → Gandhi Nagar Cross - D → Yalakki Shetter Colony → Kmf - D → Gurudev Nagar 1St Stop → Gurudeva Nagar
1040,Gurudeva Nagar ⇆ CBT-D,Gurudeva Nagar → Gurudev Nagar 1St Stop → Kmf - D → Yalakki Shetter Colony → Gandhi Nagar Cross - D → Vidya Giri → Suvarna Petrol Bunk → Modern Hall → Toll Naka - D → Hosa Yallapur Cross → Nttf → Court Circle → Jubilee Circle → Cbt-D
1042,Someshwara Temple ⇆ CBT-D,Cbt-D → Jubilee Circle → Court Circle → Taluk Panchayat → Head Post Office → Yammikeri → Kaboor Road Cross → Water Tank D → Rayara Mata → Venkteshwara Temple → Saraswathipura → Saraswathipura Cross → Tejasvi Nagar Bridge → Purohith Nagar → Sdm Engg College → Someshwara Temple
1042,Someshwara Temple ⇆ CBT-D,Someshwara Temple → Sdm Engg College → Purohith Nagar → Tajesavi Nagar → Saraswathipura Cross → Saraswathipura → Venkteshwara Temple → Rayara Mata → Water Tank D → Kaboor Road Cross → Yammikeri → Head Post Office → Brindhavan → Court Circle → Jubilee Circle → Cbt-D
1043,CBT-D ⇆ Shantinikethan D,Cbt-D → Jubilee Circle → Lic → K C D → Dasanakoppa Cross → Lic Quarters → Narayanapura → German Hospital → Jambagi Hospital → Bendre Bhavana → Sadhankeri → Chaitanya Park → St Antony Circle → Vikas Nagar → Bgs School → Bendre Nagar → Sampige Nagar 1St Stop → Sampige Nagar 2Nd Stop → Sampige Nagar 3Rd Stop → Shantinikethan D
1043,CBT-D ⇆ Shantinikethan D,Shantinikethan D → Sampige Nagar 3Rd Stop → Sampige Nagar 2Nd Stop → Sampige Nagar 1St Stop → Bendre Nagar → Bgs School → Vikas Nagar → St Antony Circle → Chaitanya Park → Sadhankeri → Bendre Bhavana → Jambagi Hospital → German Hospital → Narayanapura → Lic Quarters → Dasanakoppa Cross → K C D → Lic → Jubilee Circle → Cbt-D
1044,CBT-D ⇆ Tajesavi Nagar,Cbt-D → Jubilee Circle → Court Circle → Taluk Panchayat → Head Post Office → Yammikeri → Kaboor Road Cross → Water Tank D → Rayara Mata → Venkteshwara Temple → Saraswathipura → Saraswathipura Cross → Tejasvi Nagar Bridge → Tajesavi Nagar
1044,CBT-D ⇆ Tajesavi Nagar,Tajesavi Nagar → Saraswathipura Cross → Saraswathipura → Venkteshwara Temple → Rayara Mata → Water Tank D → Kaboor Road Cross → Yammikeri → Head Post Office → Taluk Panchayat → Court Circle → Jubilee Circle → Cbt-D
1046,Navlur ⇆ CBT-D,Navlur → Navlur School → Chavani → Navalur Cross → Ozone → Navlur K E B → Lakamanahalli Corridor → Kmf - D → Yalakki Shetter Colony → Gandhi Nagar Cross - D → Vidya Giri → Suvarna Petrol Bunk → Modern Hall → Toll Naka - D → Hosa Yallapur Cross → Nttf → Court Circle → Jubilee Circle → Cbt-D
